"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 06 12:47:42 CST 2020","Mon Apr 06 12:47:44 CST 2020","2012","case","test_Reg","TestRegister","","","test[5.0-userName=NULL-http://localhost:8899/spencer/api/register-POST-{""content-type"":""application/json""}-{""userName"":null,""password"":""123456""}-{""status"":""fail"",""errorCode"":2,""msg"":""UserName missing""}]",""
"passed","Mon Apr 06 12:47:14 CST 2020","Mon Apr 06 12:47:16 CST 2020","2042","case","test_Login","Test_Login","","","test_login[1.0-success to register-http://localhost:8899/spencer/api/login-POST-{""content-type"":""application/json""}-{""userName"":""spencer"",""password"":""123456""}-{""status"":""success"",""errorCode"":0,""msg"":""Succeed to login""}]",""
"passed","Mon Apr 06 12:47:49 CST 2020","Mon Apr 06 12:47:51 CST 2020","2014","case","test_Reg","TestRegister","","","test[8.0-userName=NULL & password=NULL-http://localhost:8899/spencer/api/register-POST-{""content-type"":""application/json""}-{""userName"":null,""password"":null}-{""status"":""fail"",""errorCode"":2,""msg"":""UserName missing""}]",""
"passed","Mon Apr 06 12:47:16 CST 2020","Mon Apr 06 12:47:18 CST 2020","2028","case","test_Login","Test_Login","","","test_login[2.0-user doesn't exist-http://localhost:8899/spencer/api/login-POST-{""content-type"":""application/json""}-{""userName"":""spenc"",""password"":""123456""}-{""status"":""fail"",""errorCode"":1,""msg"":""Incorrect password or non-exist userName""}]",""
"passed","Mon Apr 06 12:47:22 CST 2020","Mon Apr 06 12:47:24 CST 2020","2009","case","test_Login","Test_Login","","","test_login[5.0-userName=""""-http://localhost:8899/spencer/api/login-POST-{""content-type"":""application/json""}-{""userName"":"""",""password"":""123456""}-{""status"":""fail"",""errorCode"":2,""msg"":""UserName missing""}]",""
"passed","Mon Apr 06 12:47:24 CST 2020","Mon Apr 06 12:47:26 CST 2020","2011","case","test_Login","Test_Login","","","test_login[6.0-password=""""-http://localhost:8899/spencer/api/login-POST-{""content-type"":""application/json""}-{""userName"":""spencer"",""password"":""""}-{""status"":""fail"",""errorCode"":3,""msg"":""Password missing""}]",""
"passed","Mon Apr 06 12:47:26 CST 2020","Mon Apr 06 12:47:28 CST 2020","2011","case","test_Login","Test_Login","","","test_login[7.0-userName=NULL-http://localhost:8899/spencer/api/login-POST-{""content-type"":""application/json""}-{""userName"":null,""password"":""123456""}-{""status"":""fail"",""errorCode"":2,""msg"":""UserName missing""}]",""
"passed","Mon Apr 06 12:47:30 CST 2020","Mon Apr 06 12:47:32 CST 2020","2016","case","test_Login","Test_Login","","","test_login[9.0-userName="""" & password = """"-http://localhost:8899/spencer/api/login-POST-{""content-type"":""application/json""}-{""userName"":"""",""password"":""""}-{""status"":""fail"",""errorCode"":2,""msg"":""UserName missing""}]",""
"passed","Mon Apr 06 12:47:47 CST 2020","Mon Apr 06 12:47:49 CST 2020","2015","case","test_Reg","TestRegister","","","test[7.0-userName="""" & password = """"-http://localhost:8899/spencer/api/register-POST-{""content-type"":""application/json""}-{""userName"":"""",""password"":""""}-{""status"":""fail"",""errorCode"":2,""msg"":""UserName missing""}]",""
"passed","Mon Apr 06 12:47:28 CST 2020","Mon Apr 06 12:47:30 CST 2020","2012","case","test_Login","Test_Login","","","test_login[8.0-password=NULL-http://localhost:8899/spencer/api/login-POST-{""content-type"":""application/json""}-{""userName"":""spencer"",""password"":null}-{""status"":""fail"",""errorCode"":3,""msg"":""Password missing""}]",""
